,ticker,date,MV_pred,MV,close
532,RRGB,2016-02-18,1261594.51,868512.44,184.21126746365758
531,RRGB,2016-02-19,1259761.02,854884.44,184.3870166581709
530,RRGB,2016-02-22,1289713.7,865105.44,182.6784968834337
529,RRGB,2016-02-23,1249944.88,862516.12,184.14301271286143
528,RRGB,2016-02-24,1248349.47,855157.0,186.80794056984288
527,RRGB,2016-02-25,1280656.85,862924.96,172.58445138311026
526,RRGB,2016-02-26,1279868.06,875871.5599999999,169.37182922208888
525,RRGB,2016-02-29,1275363.21,870684.4,164.5862910647602
524,RRGB,2016-03-01,1218054.41,891538.2999999999,163.0082386716298
523,RRGB,2016-03-02,1253775.29,900125.2000000001,163.5144025359673
522,RRGB,2016-03-03,1236251.49,910892.9,166.85051237341673
521,RRGB,2016-03-04,1276067.51,923841.4,166.80727897114028
520,RRGB,2016-03-07,1244913.97,934336.5,163.02240161734971
519,RRGB,2016-03-08,1288567.61,920842.8,169.1923939353959
518,RRGB,2016-03-09,1280367.43,912801.1,168.36839338826178
517,RRGB,2016-03-10,1279066.64,923023.6,169.5004026355615
516,RRGB,2016-03-11,1279923.04,906940.2000000001,170.7036020782619
515,RRGB,2016-03-14,1267127.61,916344.9,171.41443782395262
514,RRGB,2016-03-15,1240350.62,905304.6,169.24774066702244
513,RRGB,2016-03-16,1220196.83,866595.4,166.5462995600651
512,RRGB,2016-03-17,1279480.18,858962.6000000001,172.06869793399886
511,RRGB,2016-03-18,1268179.7,880361.7000000001,173.5779349577272
510,RRGB,2016-03-21,1248300.17,871229.6,172.46885665355796
509,RRGB,2016-03-22,1242413.6,848603.7999999999,169.92588877276435
508,RRGB,2016-03-23,1211487.19,842742.9,170.6599207746591
507,RRGB,2016-03-24,1238441.32,811530.2,175.13361571574643
506,RRGB,2016-03-28,1272949.06,810985.0,180.26085875094282
505,RRGB,2016-03-29,1243603.83,813574.7,180.0900646745468
504,RRGB,2016-03-30,1262238.96,870684.4,176.4225952869018
503,RRGB,2016-03-31,1262008.05,904373.99,176.30525446169963
502,RRGB,2016-04-01,1262826.26,906631.75,180.12994414699
501,RRGB,2016-04-04,1249106.21,891250.76,183.7490261065492
500,RRGB,2016-04-05,1266447.96,897177.38,187.07086108160786
499,RRGB,2016-04-06,1229706.11,893649.63,185.9475814905632
498,RRGB,2016-04-07,1275024.13,904938.4299999999,189.31176668593469
497,RRGB,2016-04-08,1294029.74,897177.38,190.54642198677027
496,RRGB,2016-04-11,1271894.15,894355.18,189.46986454227323
495,RRGB,2016-04-12,1296453.82,903386.22,189.06558127122344
494,RRGB,2016-04-13,1306432.39,882643.0499999999,182.45320105314408
493,RRGB,2016-04-14,1302893.37,898729.59,184.66050903499053
492,RRGB,2016-04-15,1279976.16,881937.5,181.07230848125477
491,RRGB,2016-04-18,1300605.58,877280.87,183.9371371103563
490,RRGB,2016-04-19,1282240.82,902539.56,181.97438668060127
489,RRGB,2016-04-20,1302267.35,898306.26,184.07768277064707
488,RRGB,2016-04-21,1289762.2,906208.42,183.0218596294489
487,RRGB,2016-04-22,1253710.71,909030.62,183.75966733616346
486,RRGB,2016-04-25,1254751.73,914816.13,187.44983594557388
485,RRGB,2016-04-26,1241736.97,920178.3099999999,188.4749988301494
484,RRGB,2016-04-27,1277091.32,924270.5,188.51685846351555
483,RRGB,2016-04-28,1318842.41,903245.1100000001,190.70954810562148
482,RRGB,2016-04-29,1305435.91,868949.7999999999,189.18528290679566
481,RRGB,2016-05-02,1320827.76,890519.9600000001,190.5580414912452
480,RRGB,2016-05-03,1274043.61,909086.68,195.8648459295843
479,RRGB,2016-05-04,1319886.55,885332.2,198.26258371674064
478,RRGB,2016-05-05,1315839.88,891339.0800000001,198.25703131448216
477,RRGB,2016-05-06,1317023.92,867721.12,196.8686696738797
476,RRGB,2016-05-09,1296729.08,867175.04,197.52108278082986
475,RRGB,2016-05-10,1320749.26,896390.32,198.83722612853424
474,RRGB,2016-05-11,1254971.84,884376.56,191.80675915395415
473,RRGB,2016-05-12,1270039.4,856526.48,195.41189280683162
472,RRGB,2016-05-13,1271893.91,855980.4,196.2610871060324
471,RRGB,2016-05-16,1236081.81,842464.92,196.88302520989313
470,RRGB,2016-05-17,1266745.94,764512.0,195.15001091275036
469,RRGB,2016-05-18,1244874.59,684784.32,195.23421278157824
468,RRGB,2016-05-19,1258252.32,651473.44,195.51761949806794
467,RRGB,2016-05-20,1263913.35,653248.2000000001,195.10480518218085
466,RRGB,2016-05-23,1259041.33,662941.12,196.12514834419048
465,RRGB,2016-05-24,1217006.44,665535.0,192.77089097617034
464,RRGB,2016-05-25,1248495.64,678913.96,200.41441294878712
463,RRGB,2016-05-26,1216228.84,692839.0,201.54220237096445
462,RRGB,2016-05-27,1231013.21,698982.4,188.78636842831074
461,RRGB,2016-05-31,1252948.13,708142.83,187.42919203191107
460,RRGB,2016-06-01,1205366.74,696269.9400000001,186.68436175871216
459,RRGB,2016-06-02,1241046.07,718787.49,183.4698001017827
458,RRGB,2016-06-03,1249881.64,729159.21,184.21226390480794
457,RRGB,2016-06-06,1252089.2,733116.84,182.68654199513196
456,RRGB,2016-06-07,1247016.15,742669.74,184.39925932645443
455,RRGB,2016-06-08,1251525.7,736938.0,184.87309809429502
454,RRGB,2016-06-09,1246327.74,742669.74,183.1670704444686
453,RRGB,2016-06-10,1246103.87,734618.01,183.58900728666544
452,RRGB,2016-06-13,1204724.35,731206.26,182.56151289465421
